"No.","Time","Source","Destination","Protocol","Length","Info","Text","Bit Value"
"4","0.000142","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=365&y=10&event=mousemove HTTP/1.1 ","",""
"16","0.016480","127.0.0.1","127.0.0.1","HTTP","405","GET /anticheat?x=295&y=20&event=mousemove HTTP/1.1 ","",""
"26","0.058047","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=204&y=31&event=mousemove HTTP/1.1 ","",""
"38","0.085879","127.0.0.1","127.0.0.1","HTTP","355","GET /anticheat?x=105&y=39&event=mousemove HTTP/1.1 ","",""
"50","0.109857","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=82&y=39&event=mousemove HTTP/1.1 ","",""
"62","0.119749","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=65&y=37&event=mousemove HTTP/1.1 ","",""
"74","0.156222","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=54&y=34&event=mousemove HTTP/1.1 ","",""
"79","0.157703","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=50&y=34&event=mousemove HTTP/1.1 ","",""
"98","0.167982","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=39&y=30&event=mousemove HTTP/1.1 ","",""
"108","0.190823","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=37&y=29&event=mousemove HTTP/1.1 ","",""
"118","0.196385","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=34&y=26&event=mousemove HTTP/1.1 ","",""
"130","0.215365","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=33&y=25&event=mousemove HTTP/1.1 ","",""
"142","0.231650","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=31&y=22&event=mousemove HTTP/1.1 ","",""
"154","0.257030","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=30&y=21&event=mousemove HTTP/1.1 ","",""
"166","0.269767","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=26&y=20&event=mousemove HTTP/1.1 ","",""
"178","0.285455","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=24&y=19&event=mousemove HTTP/1.1 ","",""
"188","0.305682","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=20&y=18&event=mousemove HTTP/1.1 ","",""
"198","0.330060","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=19&y=16&event=mousemove HTTP/1.1 ","",""
"208","0.351103","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=17&y=15&event=mousemove HTTP/1.1 ","",""
"218","0.382729","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=16&y=14&event=mousemove HTTP/1.1 ","",""
"230","0.438648","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=16&y=13&event=mousemove HTTP/1.1 ","",""
"242","0.517100","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=17&y=13&event=mousemove HTTP/1.1 ","",""
"252","0.538548","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=17&y=12&event=mousemove HTTP/1.1 ","",""
"262","0.726847","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=18&y=12&event=mousemove HTTP/1.1 ","",""
"272","0.790433","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=18&y=11&event=mousemove HTTP/1.1 ","",""
"282","0.844760","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=18&y=10&event=mousemove HTTP/1.1 ","",""
"294","0.985743","127.0.0.1","127.0.0.1","HTTP","403","GET /anticheat?x=18&y=9&event=mousemove HTTP/1.1 ","",""
"304","1.068708","127.0.0.1","127.0.0.1","HTTP","403","GET /anticheat?x=18&y=8&event=mousemove HTTP/1.1 ","",""
"314","2.346858","127.0.0.1","127.0.0.1","HTTP","353","GET /anticheat?x=17&y=8&event=mousemove HTTP/1.1 ","",""
"326","2.359111","127.0.0.1","127.0.0.1","HTTP","353","GET /anticheat?x=17&y=9&event=mousemove HTTP/1.1 ","",""
"338","2.375719","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=17&y=10&event=mousemove HTTP/1.1 ","",""
"350","2.402790","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=16&y=12&event=mousemove HTTP/1.1 ","",""
"362","2.443889","127.0.0.1","127.0.0.1","HTTP","354","GET /anticheat?x=16&y=16&event=mousemove HTTP/1.1 ","",""
"374","2.470086","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=15&y=17&event=mousemove HTTP/1.1 ","",""
"384","2.489916","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=15&y=19&event=mousemove HTTP/1.1 ","",""
"394","2.508430","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=15&y=20&event=mousemove HTTP/1.1 ","",""
"404","2.521256","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=15&y=21&event=mousemove HTTP/1.1 ","",""
"414","2.538409","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=15&y=22&event=mousemove HTTP/1.1 ","",""
"424","2.556661","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=15&y=23&event=mousemove HTTP/1.1 ","",""
"434","2.572250","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=15&y=24&event=mousemove HTTP/1.1 ","",""
"444","2.604558","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=15&y=25&event=mousemove HTTP/1.1 ","",""
"454","2.636634","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=15&y=26&event=mousemove HTTP/1.1 ","",""
"464","2.682296","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=15&y=27&event=mousemove HTTP/1.1 ","",""
"474","2.718181","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=15&y=28&event=mousemove HTTP/1.1 ","",""
"484","2.756523","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=15&y=29&event=mousemove HTTP/1.1 ","",""
"494","2.775192","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=15&y=30&event=mousemove HTTP/1.1 ","",""
"504","2.787765","127.0.0.1","127.0.0.1","HTTP","404","GET /anticheat?x=15&y=31&event=mousemove HTTP/1.1 ","",""
